Text,Emoji,Label
I love this!,😊,Positive
This is so frustrating!,😡,Negative
"It's okay, not great.",😐,Neutral
What a wonderful experience!,😍,Positive
Feeling down about the situation.,😢,Negative
"So much to do, but I'm excited!",😄,Positive
This is boring...,😴,Negative
I feel indifferent about this.,😶,Neutral
Absolutely fantastic day!,🎉,Positive
Why does this keep happening? ,😩,Negative
It's just another average day.,😐,Neutral
I'm so grateful for my friends! ,🙏,Positive
Feeling overwhelmed with work.,😣,Negative
Tonight was fun! ,🎊,Positive
I'm not sure what to think about this.,🤔,Neutral
Life is beautiful! ,🌸,Positive
Just another disappointment.,😞,Negative
Everything feels okay right now.,😌,Neutral
This is amazing! ,🎉,Positive
I'm really frustrated with this issue.,😠,Negative
I just want to relax.,🌙,Neutral
What a lovely surprise! ,😊,Positive
I can't believe this is happening... ,😱,Negative
Feeling a bit lost right now.,😕,Neutral
I'm so happy with the results! ,🎉,Positive
This is the worst experience ever! ,😤,Negative
I'm neutral about this decision.,😐,Neutral
Just finished a great book! ,📚,Positive
Everything is going wrong today.,😩,Negative
Just doing my best! ,💪,Neutral
Today was absolutely amazing! ,😍,Positive
I'm not enjoying this at all.,😔,Negative
It's an average day for me.,😐,Neutral
