Text,Emoji,Label,Cleaned_Text
I love this!,😊,Positive,i love this
This is so frustrating!,😡,Negative,this is so frustrating
"It's okay, not great.",😐,Neutral,its okay not great
What a wonderful experience!,😍,Positive,what a wonderful experience
Feeling down about the situation.,😢,Negative,feeling down about the situation
"So much to do, but I'm excited!",😄,Positive,so much to do but im excited
This is boring...,😴,Negative,this is boring
I feel indifferent about this.,😶,Neutral,i feel indifferent about this
Absolutely fantastic day!,🎉,Positive,absolutely fantastic day
Why does this keep happening? ,😩,Negative,why does this keep happening 
It's just another average day.,😐,Neutral,its just another average day
I'm so grateful for my friends! ,🙏,Positive,im so grateful for my friends 
Feeling overwhelmed with work.,😣,Negative,feeling overwhelmed with work
Tonight was fun! ,🎊,Positive,tonight was fun 
I'm not sure what to think about this.,🤔,Neutral,im not sure what to think about this
Life is beautiful! ,🌸,Positive,life is beautiful 
Just another disappointment.,😞,Negative,just another disappointment
Everything feels okay right now.,😌,Neutral,everything feels okay right now
This is amazing! ,🎉,Positive,this is amazing 
I'm really frustrated with this issue.,😠,Negative,im really frustrated with this issue
I just want to relax.,🌙,Neutral,i just want to relax
What a lovely surprise! ,😊,Positive,what a lovely surprise 
I can't believe this is happening... ,😱,Negative,i cant believe this is happening 
Feeling a bit lost right now.,😕,Neutral,feeling a bit lost right now
I'm so happy with the results! ,🎉,Positive,im so happy with the results 
This is the worst experience ever! ,😤,Negative,this is the worst experience ever 
I'm neutral about this decision.,😐,Neutral,im neutral about this decision
Just finished a great book! ,📚,Positive,just finished a great book 
Everything is going wrong today.,😩,Negative,everything is going wrong today
Just doing my best! ,💪,Neutral,just doing my best 
Today was absolutely amazing! ,😍,Positive,today was absolutely amazing 
I'm not enjoying this at all.,😔,Negative,im not enjoying this at all
It's an average day for me.,😐,Neutral,its an average day for me
